20 Jul 2024 04:00:00.000000000,20 Jul 2024 04:00:50.000000000,20 Jul 2024 04:01:40.000000000,20 Jul 2024 04:02:30.000000000,20 Jul 2024 04:03:20.000000000,20 Jul 2024 04:04:10.000000000,20 Jul 2024 04:05:00.000000000,20 Jul 2024 04:05:50.000000000,20 Jul 2024 04:06:40.000000000,20 Jul 2024 04:07:30.000000000,20 Jul 2024 04:08:20.000000000,20 Jul 2024 04:09:10.000000000,20 Jul 2024 04:10:00.000000000,20 Jul 2024 04:10:50.000000000,20 Jul 2024 04:11:40.000000000,20 Jul 2024 04:12:30.000000000,20 Jul 2024 04:13:20.000000000,20 Jul 2024 04:14:10.000000000,20 Jul 2024 04:15:00.000000000,20 Jul 2024 04:15:50.000000000,20 Jul 2024 04:16:40.000000000,20 Jul 2024 04:17:30.000000000,20 Jul 2024 04:18:20.000000000,20 Jul 2024 04:19:10.000000000,20 Jul 2024 04:20:00.000000000,20 Jul 2024 04:20:50.000000000,20 Jul 2024 04:21:40.000000000,20 Jul 2024 04:22:30.000000000,20 Jul 2024 04:23:20.000000000,20 Jul 2024 04:24:10.000000000,20 Jul 2024 04:25:00.000000000,20 Jul 2024 04:25:50.000000000,20 Jul 2024 04:26:40.000000000,20 Jul 2024 04:27:30.000000000,20 Jul 2024 04:28:20.000000000,20 Jul 2024 04:29:10.000000000,20 Jul 2024 04:30:00.000000000,20 Jul 2024 04:30:50.000000000,20 Jul 2024 04:31:40.000000000,20 Jul 2024 04:32:30.000000000,20 Jul 2024 04:33:20.000000000,20 Jul 2024 04:34:10.000000000,20 Jul 2024 04:35:00.000000000,20 Jul 2024 04:35:50.000000000,20 Jul 2024 04:36:40.000000000,20 Jul 2024 04:37:30.000000000,20 Jul 2024 04:38:20.000000000,20 Jul 2024 04:39:10.000000000,20 Jul 2024 04:40:00.000000000,20 Jul 2024 04:40:50.000000000,20 Jul 2024 04:41:40.000000000,20 Jul 2024 04:42:30.000000000,20 Jul 2024 04:43:20.000000000,20 Jul 2024 04:44:10.000000000,20 Jul 2024 04:45:00.000000000,20 Jul 2024 04:45:50.000000000,20 Jul 2024 04:46:40.000000000,20 Jul 2024 04:47:30.000000000,20 Jul 2024 04:48:20.000000000,20 Jul 2024 04:49:10.000000000,20 Jul 2024 04:50:00.000000000
1167.863121786627,1167.8987842939518,1167.9975841057612,1168.1585984713402,1168.3803238002477,1168.6606900133938,1168.9970802842797,1169.3863559665454,1169.82488645151,1170.3085836502112,1170.8329407492247,1171.393074848809,1171.9837730559366,1172.5995415740329,1173.234657305907,1173.8832214665401,1174.5392146881463,1175.19655309124,1175.8491447922258,1176.4909463198996,1177.1160184203088,1177.7185807410274,1178.2930649019536,1178.8341654798385,1179.3368884573792,1179.7965967148114,1180.2090521717848,1180.570454219789,1180.877474120096,1181.1272850786922,1181.3175877478939,1181.4466309437441,1181.5132274087962,1181.5167644912067,1181.4572096529705,1181.3351107624085,1181.1515911685708,1180.9083395975915,1180.6075949535434,1180.2521261481652,1179.8452071252036,1179.3905872858945,1178.892457561459,1178.3554124169527,1177.784408107521,1177.184717542982,1176.561882149444,1175.9216611468587,1175.269978688733,1174.6128693343496,1173.9564223443722,1173.3067253070897,1172.6698076149225,1172.0515843181095,1171.4578008852056,1170.8939793972456,1170.365366694413,1169.8768849804264,1169.4330853706026,1169.0381048450226,1168.695627037753
1167.863121786627,1167.8987842939518,1167.9975841057612,1168.1585984713402,1168.3803238002477,1168.6606900133938,1168.9970802842797,1169.3863559665454,1169.82488645151,1170.3085836502112,1170.8329407492247,1171.393074848809,1171.9837730559366,1172.5995415740329,1173.234657305907,1173.8832214665401,1174.5392146881463,1175.19655309124,1175.8491447922258,1176.4909463198996,1177.1160184203088,1177.7185807410274,1178.2930649019536,1178.8341654798385,1179.3368884573792,1179.7965967148114,1180.2090521717848,1180.570454219789,1180.877474120096,1181.1272850786922,1181.3175877478939,1181.4466309437441,1181.5132274087962,1181.5167644912067,1181.4572096529705,1181.3351107624085,1181.1515911685708,1180.9083395975915,1180.6075949535434,1180.2521261481652,1179.8452071252036,1179.3905872858945,1178.892457561459,1178.3554124169527,1177.784408107521,1177.184717542982,1176.561882149444,1175.9216611468587,1175.269978688733,1174.6128693343496,1173.9564223443722,1173.3067253070897,1172.6698076149225,1172.0515843181095,1171.4578008852056,1170.8939793972456,1170.365366694413,1169.8768849804264,1169.4330853706026,1169.0381048450226,1168.695627037753
1172.6291080997116,1173.2649918404409,1173.914042375604,1174.5702360292976,1175.2274872734813,1175.8797052430841,1176.5208501352759,1177.1449889728142,1177.7463502231362,1178.3193767812331,1178.8587768444456,1179.3595722313648,1179.817143723982,1180.2272730424186,1180.5861810941135,1180.8905621740234,1181.1376138291923,1181.3250621391478,1181.4511822030981,1181.5148136655255,1181.5153711530174,1181.4528495371867,1181.327823980743,1181.1414447664451,1180.8954269509527,1180.592034928079,1180.2340620278078,1179.8248053188138,1179.3680358227646,1178.8679643882444,1178.329203510368,1177.7567254187707,1177.1558167915914,1176.5320304855775,1175.8911347025683,1175.2390600398062,1174.5818448955104,1173.9255797213773,1173.276350630019,1172.6401828773787,1172.022984747293,1171.430492367797,1170.868215985825,1170.341388218572,1169.8549147859521,1169.413328209152,1169.020744935261,1168.680826317523,1168.3967438451962,1168.171148976533,1168.0061478833475,1167.9032813668962,1167.8635101522955,1167.887205713848,1167.974146726408,1168.1235211797564,1168.333934133888,1168.60342103485,1168.9294664529814,1169.3090280500933,1169.738565528829
1180.2453798790527,1180.601786575078,1180.9035225956097,1181.1478098850357,1181.3323999956863,1181.4555943445012,1181.5162595011257,1181.5138373823022,1181.4483502693472,1181.3204006078583,1181.1311655912734,1180.882386572408,1180.5763533893964,1180.21588373439,1179.8042977346709,1179.345387956371,1178.8433850804563,1178.302919538774,1177.7289794346466,1177.1268651070768,1176.5021407302822,1175.8605833701067,1175.208129945998,1174.5508225709923,1173.8947527622734,1173.2460050309533,1172.61060037157,1171.9944401786854,1171.4032511202145,1170.8425314937795,1170.3174995838856,1169.8330445235647,1169.393680144409,1169.0035022736486,1168.6661499062811,1168.3847706444508,1168.1619907555157,1167.9998901550828,1167.8999825723329,1167.8632011023421,1167.889889295045,1167.9797978733761,1168.132087114609,1168.3453348702305,1168.6175501410105,1168.9461920666965,1169.3281941341097,1169.7599933545525,1170.237564111794,1170.7564563360606,1171.3118376180435,1171.898538840211,1172.5111028714039,1173.1438358443027,1173.7908605150192,1174.446171188811,1175.1036896866046,1175.7573218229822,1176.4010138673848,1177.0288084667495,1177.6348995187045
1180.1975916407378,1179.7836847935669,1179.3226441516658,1178.8187201429657,1178.276561042388,1177.701170725779,1177.0978630852678,1176.4722134991255,1175.83000777912,1175.1771890452194,1174.5198030010827,1173.8639421037874,1173.2156891371385,1172.5810607093947,1171.965951203134,1171.376077706706,1170.8169264534433,1170.293701285761,1169.81127464707,1169.3741415842762,1168.9863772183023,1168.6515981089633,1168.3729279046233,1168.1529676260348,1167.9937708884434,1167.8968243167851,1167.8630333562483,1167.892713625109,1167.9855878996714,1168.1407887625671,1168.356866886981,1168.6318048707128,1168.9630364768025,1169.3474710820522,1169.7815230817685,1170.261145949908,1170.781870607867,1171.338847714135,1171.9268934505417,1172.540538349627,1173.1740786817386,1173.8216299001444,1174.477181627708,1175.1346536594574,1175.787952451584,1176.4310275689331,1177.0579275694975,1177.6628548157564,1178.2402187181935,1178.7846869362188,1179.2912340849048,1179.7551875227855,1180.1722698256349,1180.5386375832236,1180.8509161907648,1181.1062303429185,1181.3022299764682,1181.437111446913,1181.5096337648033,1181.519129758756,1181.4655120740476
1172.5515645018743,1171.9375184103264,1171.3489726901,1170.791401395495,1170.269993817727,1169.7896056081645,1169.3547129343526,1168.9693701248793,1168.6371712278954,1168.3612158718236,1168.1440797756495,1167.987790210641,1167.8938066659098,1167.8630069174928,1167.8956786452939,1167.991516684884,1168.149625942713,1168.368529944452,1168.6461849277628,1168.9799993334295,1169.366858493688,1169.8031542637,1170.284819293032,1170.807365588396,1171.365926978025,1171.9553050518173,1172.570018120437,1173.2043527108701,1173.8524170959602,1174.5081963408716,1175.165608340484,1175.818560318275,1176.4610052589035,1177.0869977534464,1177.6907487477572,1178.2666787001613,1178.8094686746592,1179.3141089193402,1179.775944506487,1180.190717640842,1180.5546062745234,1180.864258702062,1181.1168238451523,1181.3099769750302,1181.4419406596571,1181.511500763431,1181.5180173683366,1181.461430527404,1181.342260803607,1181.161604589773,1180.9211242477002,1180.6230331468187,1180.2700757249984,1179.8655027352447,1179.4130418828274,1178.9168640970136,1178.3815457198834,1177.8120269316062,1177.2135667665077,1176.5916951071424,1175.9521620738988
1167.863121786627,1167.8987842939518,1167.9975841057612,1168.15859847134,1168.3803238002477,1168.6606900133938,1168.9970802842797,1169.3863559665454,1169.8248864515097,1170.308583650211,1170.8329407492245,1171.3930748488099,1171.9837730559366,1172.599541574034,1173.2346573059071,1173.883221466541,1174.5392146881454,1175.1965530912385,1175.8491447922252,1176.4909463199017,1177.1160184203104,1177.7185807410274,1178.293064901954,1178.8341654798398,1179.3368884573792,1179.7965967148114,1180.2090521717848,1180.5704542197898,1180.8774741200964,1181.1272850786922,1181.3175877478955,1181.4466309437435,1181.5132274087962,1181.5167644912067,1181.4572096529705,1181.3351107624085,1181.151591168571,1180.9083395975915,1180.6075949535434,1180.2521261481652,1179.8452071252034,1179.3905872858945,1178.892457561459,1178.3554124169527,1177.7844081075204,1177.1847175429798,1176.561882149444,1175.9216611468607,1175.2699786887333,1174.61286933435,1173.9564223443704,1173.3067253070897,1172.6698076149244,1172.0515843181092,1171.457800885204,1170.8939793972468,1170.3653666944144,1169.8768849804264,1169.4330853706035,1169.0381048450229,1168.6956270377532
1172.6291080997116,1173.2649918404404,1173.9140423756035,1174.5702360292967,1175.2274872734813,1175.879705243083,1176.5208501352754,1177.1449889728133,1177.7463502231337,1178.3193767812304,1178.8587768444431,1179.359572231364,1179.8171437239796,1180.2272730424193,1180.5861810941124,1180.8905621740219,1181.1376138291923,1181.325062139145,1181.4511822030963,1181.5148136655241,1181.5153711530158,1181.4528495371844,1181.3278239807419,1181.1414447664424,1180.8954269509488,1180.5920349280746,1180.2340620278055,1179.824805318812,1179.3680358227582,1178.8679643882426,1178.3292035103668,1177.756725418766,1177.1558167915875,1176.5320304855745,1175.8911347025637,1175.2390600398003,1174.5818448955074,1173.925579721373,1173.276350630013,1172.6401828773746,1172.0229847472858,1171.4304923677912,1170.8682159858195,1170.341388218566,1169.8549147859453,1169.4133282091452,1169.020744935254,1168.6808263175167,1168.396743845192,1168.171148976524,1168.0061478833413,1167.9032813668882,1167.8635101522907,1167.8872057138417,1167.9741467264012,1168.1235211797498,1168.3339341338815,1168.6034210348464,1168.9294664529777,1169.3090280500878,1169.7385655288258
1180.2453798790527,1180.6017865750787,1180.90352259561,1181.1478098850357,1181.3323999956863,1181.4555943445012,1181.5162595011257,1181.5138373823022,1181.4483502693472,1181.3204006078581,1181.1311655912734,1180.8823865724103,1180.5763533893978,1180.2158837343893,1179.8042977346715,1179.3453879563738,1178.8433850804563,1178.302919538776,1177.7289794346464,1177.1268651070777,1176.5021407302836,1175.8605833701095,1175.2081299459992,1174.5508225709955,1173.8947527622763,1173.2460050309562,1172.6106003715718,1171.994440178688,1171.403251120219,1170.842531493784,1170.3174995838872,1169.833044523569,1169.3936801444145,1169.0035022736513,1168.666149906282,1168.384770644456,1168.1619907555205,1167.9998901550887,1167.8999825723395,1167.863201102346,1167.8898892950506,1167.9797978733804,1168.1320871146154,1168.3453348702358,1168.6175501410155,1168.9461920667047,1169.3281941341158,1169.7599933545575,1170.2375641117992,1170.7564563360668,1171.3118376180494,1171.898538840218,1172.5111028714084,1173.1438358443108,1173.790860515025,1174.4461711888148,1175.1036896866117,1175.7573218229902,1176.4010138673875,1177.028808466753,1177.634899518709
1180.197591640738,1179.7836847935673,1179.3226441516651,1178.8187201429657,1178.2765610423871,1177.7011707257789,1177.0978630852678,1176.4722134991255,1175.8300077791203,1175.1771890452203,1174.5198030010827,1173.8639421037874,1173.2156891371383,1172.581060709395,1171.9659512031346,1171.3760777067075,1170.8169264534429,1170.293701285762,1169.81127464707,1169.3741415842765,1168.986377218301,1168.651598108963,1168.3729279046236,1168.1529676260361,1167.9937708884434,1167.8968243167851,1167.8630333562473,1167.892713625109,1167.9855878996711,1168.140788762567,1168.356866886981,1168.6318048707126,1168.9630364768045,1169.3474710820492,1169.7815230817664,1170.2611459499071,1170.7818706078667,1171.338847714135,1171.9268934505417,1172.540538349627,1173.174078681737,1173.8216299001435,1174.477181627706,1175.134653659456,1175.787952451583,1176.4310275689331,1177.057927569498,1177.6628548157535,1178.2402187181922,1178.784686936217,1179.291234084903,1179.7551875227841,1180.1722698256306,1180.5386375832222,1180.850916190762,1181.106230342916,1181.3022299764625,1181.4371114469095,1181.509633764799,1181.519129758755,1181.4655120740442
